Kontonr;Bogført dato;Navn;Leverandørnr;Posteringstekst;Nettobeløb;Beløb;Afdelingsnr;Bilagsidentifikation;Regnskabsår;Udbetalt dato;Kassenr;;;;;
527-32-072-03;05-03-2025;;;Soph. Boenhederne 02;-123.049,37;-123.049,37;34010;2503051741175129548;2025;;111;;;;;
527-32-072-03;11-02-2025;;;soph.  Boenhederne jan;-137.472,79;-137.472,79;34010;2502111739265116856;2025;;111;;;;;
527-32-073-00;08-12-2025;;;Kammerhuset nov;-34.035,73;-34.035,73;34010;2512081765187986057;2025;;111;;;;;
527-32-073-00;26-11-2025;;;Kammerhuset okt;-39.754,84;-39.754,84;34010;2511101762768642407;2025;;111;;;;;
527-32-073-00;26-11-2025;;;Kammerhuset okt;-39.754,84;-39.754,84;34010;2511101762768642407;2025;;111;;;;;
527-32-073-00;10-11-2025;;;Kammerhuset okt;39.754,84;39.754,84;34010;2511101762768642407;2025;;111;;;;;
527-32-073-00;08-10-2025;;;Kammerhuset sep;-37.669,72;-37.669,72;34010;2510081759911767793;2025;;111;;;;;
527-32-073-00;08-09-2025;;;Kammerhuset aug;-36.941,65;-36.941,65;34010;2509081757322048318;2025;;111;;;;;
527-32-073-00;11-08-2025;;;Juli 25;-39.272,97;-39.272,97;34010;2508111754905699155;2025;;111;;;;;
527-32-073-00;10-07-2025;;;Kammerhuset juni;-31.712,31;-31.712,31;34010;2507101752137331222;2025;;111;;;;;
527-32-073-00;10-06-2025;;;Kammerhuset maj;-32.117,62;-32.117,62;34010;2506101749556292026;2025;;111;;;;;
527-32-073-00;06-05-2025;;;Kammerhuset apr;-30.565,11;-30.565,11;34010;2505061746516169235;2025;;111;;;;;
527-32-073-00;07-04-2025;;;Kammerhuset mar;-35.941,77;-35.941,77;34010;2504071744015207453;2025;;111;;;;;
527-32-073-00;05-03-2025;;;Kammerhuset 02;-38.411,34;-38.411,34;34010;2503051741175129548;2025;;111;;;;;
527-32-073-00;11-02-2025;;;Kammerhuset jan;-30.632,53;-30.632,53;34010;2502111739265116856;2025;;111;;;;;
527-32-074-08;08-12-2025;;;Margrethelund nov;-77.127,39;-77.127,39;34010;2512081765187986057;2025;;111;;;;;
527-32-074-08;26-11-2025;;;Margrethelund okt;-81.679,94;-81.679,94;34010;2511101762768642407;2025;;111;;;;;
527-32-074-08;26-11-2025;;;Margrethelund okt;-81.679,94;-81.679,94;34010;2511101762768642407;2025;;111;;;;;
527-32-074-08;10-11-2025;;;Margrethelund okt;81.679,94;81.679,94;34010;2511101762768642407;2025;;111;;;;;
527-32-074-08;08-10-2025;;;Margrethelund sep;-77.491,70;-77.491,70;34010;2510081759911767793;2025;;111;;;;;
527-32-074-08;08-09-2025;;;Margrethelund aug;-78.873,95;-78.873,95;34010;2509081757322048318;2025;;111;;;;;
527-32-074-08;11-08-2025;;;Juli 25;-81.954,67;-81.954,67;34010;2508111754905699155;2025;;111;;;;;
527-32-074-08;10-07-2025;;;Margrethelund Juni;-76.596,86;-76.596,86;34010;2507101752137331222;2025;;111;;;;;
527-32-074-08;10-06-2025;;;Margrethelund maj;-74.791,53;-74.791,53;34010;2506101749556292026;2025;;111;;;;;
527-32-074-08;06-05-2025;;;Margrethelund apr;-72.242,49;-72.242,49;34010;2505061746516169235;2025;;111;;;;;
527-32-074-08;07-04-2025;;;Margrethelund mar;-73.920,55;-73.920,55;34010;2504071744015207453;2025;;111;;;;;
527-32-074-08;05-03-2025;;;Margrethelund 02;-69.086,45;-69.086,45;34010;2503051741175129548;2025;;111;;;;;
527-32-074-08;11-02-2025;;;Margrethelund jan;-81.256,94;-81.256,94;34010;2502111739265116856;2025;;111;;;;;
527-32-075-05;08-12-2025;;;Hjemmeboende nov;-308.252,63;-308.252,63;34010;2512081765187986057;2025;;111;;;;;
527-32-075-05;26-11-2025;;;Hjemmeboende okt;-342.130,65;-342.130,65;34010;2511101762768642407;2025;;111;;;;;
527-32-075-05;26-11-2025;;;Hjemmeboende okt;-342.130,65;-342.130,65;34010;2511101762768642407;2025;;111;;;;;
527-32-075-05;10-11-2025;;;Hjemmeboende okt;342.130,65;342.130,65;34010;2511101762768642407;2025;;111;;;;;
527-32-075-05;08-10-2025;;;Hjemmeboende sep;-329.278,74;-329.278,74;34010;2510081759911767793;2025;;111;;;;;
527-32-075-05;08-09-2025;;;Hjemmeboende aug;-335.984,67;-335.984,67;34010;2509081757322048318;2025;;111;;;;;
527-32-075-05;11-08-2025;;;Juli 25;-330.944,42;-330.944,42;34010;2508111754905699155;2025;;111;;;;;
527-32-075-05;10-07-2025;;;Hjemmeboende juni;-309.144,79;-309.144,79;34010;2507101752137331222;2025;;111;;;;;
527-32-075-05;10-06-2025;;;Hjemmeboende maj;-317.628,50;-317.628,50;34010;2506101749556292026;2025;;111;;;;;
527-32-075-05;06-05-2025;;;Hjemmeboende apr;-309.082,06;-309.082,06;34010;2505061746516169235;2025;;111;;;;;
527-32-075-05;07-04-2025;;;Hjemmeboende mar;-323.704,92;-323.704,92;34010;2504071744015207453;2025;;111;;;;;
527-32-075-05;05-03-2025;;;Hjemmeboende 02;-306.360,04;-306.360,04;34010;2503051741175129548;2025;;111;;;;;
527-32-075-05;11-02-2025;;;Hjemmeboende jan;-346.246,72;-346.246,72;34010;2502111739265116856;2025;;111;;;;;
527-32-076-02;11-12-2025;;;Beboermad 12;-52.507,00;-52.507,00;34010;2512111765440145272;2025;;111;;;;;
527-32-076-02;17-11-2025;;;Beboermad 11;-51.017,00;-51.017,00;34010;2511171763376383318;2025;;111;;;;;
527-32-076-02;23-10-2025;;;Beboermad 10;-50.338,00;-50.338,00;34010;2510231761205094445;2025;;111;;;;;
527-32-076-02;16-09-2025;;;Beboermad 9;-57.586,00;-57.586,00;34010;2509161758003488692;2025;;111;;;;;
527-32-076-02;14-08-2025;;;Beboermad 8;-64.220,00;-64.220,00;34010;2508141755157962332;2025;;111;;;;;
527-32-076-02;14-08-2025;;;Regulering mad vedr. juni b. 951;-1.260,00;-1.260,00;34010;2508141755157962332;2025;;111;;;;;
527-32-076-02;13-08-2025;;;Kreditnota vedr. b. 951;1.260,00;1.260,00;34010;2508131755076018420;2025;;111;;;;;
527-32-076-02;29-07-2025;;;Kreditnota vedr. b. 107;34,00;34,00;34010;2507291753788959305;2025;;111;;;;;
527-32-076-02;21-07-2025;;;Beboermad 7;-69.403,00;-69.403,00;34010;2507211753080134484;2025;;111;;;;;
527-32-076-02;02-07-2025;;;Tilbageføres dobbelt bogført;69.234,00;69.234,00;34010;2507021751443915072;2025;;111;;;;;
527-32-076-02;23-06-2025;;;Beboermad 6;-69.234,00;-69.234,00;34010;2506191750316941764;2025;;111;;;;;
527-32-076-02;19-06-2025;;;Beboermad 6;-69.234,00;-69.234,00;34010;2506191750317845766;2025;;111;;;;;
527-32-076-02;19-05-2025;;;Beboermad 5;-66.022,00;-66.022,00;34010;2505191747642906565;2025;;111;;;;;
527-32-076-02;24-04-2025;;;Beboermad 4;-70.100,00;-70.100,00;34010;2504241745488830440;2025;;111;;;;;
527-32-076-02;19-03-2025;;;Beboermad 3;-55.676,00;-55.676,00;34010;2503191742382586737;2025;;111;;;;;
527-32-076-02;25-02-2025;;;Borger krediteret for mad januar;1.953,00;1.953,00;34010;2502251740475863330;2025;;111;;;;;
527-32-076-02;24-02-2025;;;Beboermad 2;-64.158,68;-64.158,68;34010;2502241740394158775;2025;;111;;;;;
527-32-076-02;21-01-2025;;;Beboermad 1;-55.257,00;-55.257,00;34010;2501211737449364346;2025;;111;;;;;
527-32-077-50;17-12-2025;;;Diverse salg 11.11-17.12-2025;-3.396,68;-3.396,68;34010;2512171765976499829;2025;;111;;;;;
527-32-077-50;10-11-2025;;;Diverse salg fra 18.9-10.11-2025;-980,01;-980,01;34010;2511101762772712433;2025;;111;;;;;
527-32-077-50;18-09-2025;;;Diverse salg fra køkkenet;-2.470,00;-2.470,00;34010;2509181758184130997;2025;;111;;;;;
527-32-077-50;02-09-2025;;;Faktura 5;-14.410,00;-14.410,00;34010;2509021756814248695;2025;;111;;;;;
527-32-077-50;11-08-2025;;;Intern salg juni og juli;-1.863,00;-1.863,00;34010;2508111754905699155;2025;;111;;;;;
527-32-077-50;22-07-2025;;;Diverse salg;-4.159,01;-4.159,01;34010;2507221753175444972;2025;;111;;;;;
527-32-077-50;21-05-2025;;;Kage wienercafe;-380,00;-380,00;34010;2505211747812966450;2025;;111;;;;;
527-32-077-50;05-05-2025;;;Køkken salg;-5.760,00;-5.760,00;34010;2505051746435498495;2025;;111;;;;;
527-32-077-50;11-03-2025;;;Køkken salg;-5.429,00;-5.429,00;34010;2503111741697269672;2025;;111;;;;;
527-32-077-50;15-01-2025;;;Omp.Bestyr møde bogført d 4.12 og 19.12;-4.140,00;-4.140,00;34010;2501151736940248571;2025;;111;;;;;
527-32-077-50;15-01-2025;;;Omp.Bestyr møde bogført d 4.12 og 19.12;4.140,00;4.140,00;34010;2501151736940248571;2025;;111;;;;;
527-32-078-07;17-11-2025;;;Musikcafe 30.10. 11;-440,00;-440,00;34010;2511171763376383318;2025;;111;;;;;
527-32-078-07;23-10-2025;;;Musikcafe 18.9,herrefrokost 3.10;-620,00;-620,00;34010;2510231761205094445;2025;;111;;;;;
527-32-078-07;23-10-2025;;;Valgcafe 30.9 vin;-80,00;-80,00;34010;2510231761205094445;2025;;111;;;;;
527-32-078-07;18-06-2025;;;Køkken Sant Hans 13.6;-4.720,00;-4.720,00;34010;2506181750247061375;2025;;111;;;;;
527-32-078-07;17-06-2025;;;Sankt Hans;-880,00;-880,00;34010;2506171750149908651;2025;;111;;;;;
527-32-078-07;21-05-2025;;;Køkken forårsfest;-9.932,00;-9.932,00;34010;2505211747812966450;2025;;111;;;;;
527-32-078-07;24-04-2025;;;Forårsfest 20.3.  4;-10.330,00;-10.330,00;34010;2504241745488830440;2025;;111;;;;;
527-32-078-07;24-04-2025;;;Forårsfest drikkevarer 20.3 4;-285,00;-285,00;34010;2504241745488830440;2025;;111;;;;;
527-32-078-07;31-03-2025;;;Forårsfest;-880,00;-880,00;34010;2503311743422724617;2025;;111;;;;;
527-32-078-07;25-03-2025;;;Forårsfest;-420,00;-420,00;34010;2503251742905212202;2025;;111;;;;;
527-32-078-07;27-02-2025;;;Forårsfest;-210,00;-210,00;34010;2502271740648777893;2025;;111;;;;;
527-32-078-07;18-02-2025;;;Forårsfest;-630,00;-630,00;34010;2502181739883636955;2025;;111;;;;;
527-32-078-07;17-02-2025;;;Forårsfest;-210,00;-210,00;34010;2502171739781634916;2025;;111;;;;;
527-32-079-04;08-12-2025;;;Reg salg helmenu nov;12.363,07;12.363,07;34010;2512081765188785060;2025;;111;;;;;
527-32-079-04;10-11-2025;;;Reg salg helmenu okt;11.957,06;11.957,06;34010;2511101762770297419;2025;;111;;;;;
527-32-079-04;08-10-2025;;;Reg salg helmenu. 09;10.286,76;10.286,76;34010;2510081759904988780;2025;;111;;;;;
527-32-079-04;08-09-2025;;;Reg salg helmenu 08;10.910,50;10.910,50;34010;2509081757332075375;2025;;111;;;;;
527-32-079-04;11-08-2025;;;Juli prisforskel æld.boliger;11.848,07;11.848,07;34010;2508111754905699155;2025;;111;;;;;
527-32-079-04;10-07-2025;;;Reg salg helmenu juni;12.931,82;12.931,82;34010;2507101752136793219;2025;;111;;;;;
527-32-079-04;10-06-2025;;;Reg salg helmenu maj 2025;13.474,68;13.474,68;34010;2506101749555773018;2025;;111;;;;;
527-32-079-04;06-05-2025;;;Reg salg helmenu apr;12.887,27;12.887,27;34010;2505061746516958253;2025;;111;;;;;
527-32-079-04;07-04-2025;;;Reg salg helmenu marts 25;13.816,74;13.816,74;34010;2504071744016899465;2025;;111;;;;;
527-32-079-04;05-03-2025;;;Reg salg helmenu 02-2025;11.357,13;11.357,13;34010;2503051741176805558;2025;;111;;;;;
527-32-079-04;18-02-2025;;;Reg salg helmenu januar 25;12.684,38;12.684,38;34010;2502181739869640845;2025;;111;;;;;
527-32-080-05;18-12-2025;;;Salg restaurant uge 48;-3.067,00;-3.067,00;34010;2512181766068911952;2025;;111;;;;;
527-32-080-05;18-12-2025;;;Salg restaurant uge 49;-7.734,00;-7.734,00;34010;2512181766070511960;2025;;111;;;;;
527-32-080-05;18-12-2025;;;Salg restaurant ige 50;-3.154,00;-3.154,00;34010;2512181766070511960;2025;;111;;;;;
527-32-080-05;11-12-2025;;;Salg restaurant uge 46;-4.686,00;-4.686,00;34010;2512111765449771338;2025;;111;;;;;
527-32-080-05;11-12-2025;;;Salg restaurant uge 47;-5.327,00;-5.327,00;34010;2512111765449771338;2025;;111;;;;;
527-32-080-05;17-11-2025;;;Salg restaurant uge 44;-4.941,00;-4.941,00;34010;2511171763376710319;2025;;111;;;;;
527-32-080-05;17-11-2025;;;Salg restaurant uge 45;-4.339,00;-4.339,00;34010;2511171763376710319;2025;;111;;;;;
527-32-080-05;30-10-2025;;;Salg restaurant uge 41;-3.980,00;-3.980,00;34010;2510301761816713918;2025;;111;;;;;
527-32-080-05;30-10-2025;;;Salg restaurant uge 42;-3.832,00;-3.832,00;34010;2510301761816713918;2025;;111;;;;;
527-32-080-05;30-10-2025;;;Salg restaurant uge 43;-4.157,00;-4.157,00;34010;2510301761816713918;2025;;111;;;;;
527-32-080-05;09-10-2025;;;Salg restaurant uge 39;-3.761,00;-3.761,00;34010;2510091759998866334;2025;;111;;;;;
527-32-080-05;09-10-2025;;;Salg restaurant uge 40;-4.361,00;-4.361,00;34010;2510091759998866334;2025;;111;;;;;
527-32-080-05;30-09-2025;;;Salg restaurant uge 38;-2.729,00;-2.729,00;34010;2509301759217539000;2025;;111;;;;;
527-32-080-05;23-09-2025;;;Salg restaurant uge 37;-3.226,00;-3.226,00;34010;2509231758627390113;2025;;111;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 27;-5.651,00;-5.651,00;34010;2509161758023372792;2025;;111;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 28;-4.119,00;-4.119,00;34010;2509161758023372792;2025;;111;;;;;
